"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"HERITGFOOD","Heritage Foods Limited","EQ","Rights 1:1 @ Premium Rs 0/-","5","20-Jan-2023","20-Jan-2023","-","-"
"PATELENG","Patel Engineering Limited","EQ","Rights 1:2@ Premium Rs 11.60/-","1","06-Feb-2023","06-Feb-2023","-","-"
"ROML","Raj Oil Mills Limited","EQ","Rights 1:1 @ Premium Rs 20/-","10","09-Feb-2023","09-Feb-2023","-","-"
"CGCL","Capri Global Capital Limited","EQ","Rights 11:64 @ Premium Rs 473/-","1","17-Feb-2023","17-Feb-2023","-","-"
"SHAREINDIA","Share India Securities Limited","EQ","Rights 1:50 @ Premium Rs 690/- With 17 Warrants For 50 Equity Shares","2","28-Feb-2023","28-Feb-2023","-","-"
"GOKULAGRO","Gokul Agro Resources Limited","EQ","Rights 1:32 @ Premium Rs 90/-","1","08-Mar-2023","08-Mar-2023","-","-"
"SEPC","SEPC Limited","EQ","Rights 2:53 @ Premium Rs 0/-","10","29-Mar-2023","29-Mar-2023","-","-"
"PNBHOUSING","PNB Housing Finance Limited","EQ","Rights 29:54@ Premium Rs 265/-","10","05-Apr-2023","05-Apr-2023","-","-"
"RUSHIL","Rushil Decor Limited","EQ","Rights 1:3 @ Premium Rs 152/-","1","13-Apr-2023","13-Apr-2023","-","-"
"SDBL","Som Distilleries & Breweries Limited","EQ","Rights 10:211@ Premium Rs 135/-","2","13-Apr-2023","14-Apr-2023","-","-"
"TPHQ","Teamo Productions HQ Limited","EQ","Rights 11:8 @ Premium Rs 0/-","1","18-Apr-2023","18-Apr-2023","-","-"
"AURIGROW","Auri Grow India Limited","EQ","Rights 2:1 @ Premium Rs 0/-","1","12-May-2023","12-May-2023","-","-"
"PRAXIS","Praxis Home Retail Limited","EQ","Rights 13:20 @ Premium Rs 5/-","5","30-May-2023","30-May-2023","-","-"
"SHREERAMA","Shree Rama Multi-Tech Limited","EQ","Rights 11:10@ Premium Rs 4/-","5","30-May-2023","30-May-2023","-","-"
"DIL","Debock Industries Limited","EQ","Rights 3:7 @ Premium Rs 5/-","10","01-Jun-2023","01-Jun-2023","-","-"
"NECCLTD","North Eastern Carrying Corporation Limited","EQ","Rights 9:10 @ Premium Rs 8/-","10","02-Jun-2023","02-Jun-2023","-","-"
"UDAICEMENT","Udaipur Cement Works Limited","EQ","Rights 4:5 @ Premium Rs 14/-","4","14-Jun-2023","14-Jun-2023","-","-"
"SRPL","Shree Ram Proteins Limited","EQ","Rights 1:1 @ Premium Rs 1.30/-","1","06-Jul-2023","06-Jul-2023","-","-"
"VCL","Vaxtex Cotfab Limited","EQ","Rights 1:2 @ Premium Re 1.50/-","1","24-Jul-2023","24-Jul-2023","-","-"
"BROOKS","Brooks Laboratories Limited","EQ","Rights 1:16 @ Premium Rs 65/-","10","28-Jul-2023","28-Jul-2023","-","-"
"IRBIT","IRB INFRASTRUCTURE TRUST","IV","Rights 1:6 @ Premium Rs 100.98/-","100","28-Jul-2023","28-Jul-2023","-","-"
"PPLPHARMA","Piramal Pharma Limited","EQ","Rights 5:46 @ Premium Rs 71/-","10","02-Aug-2023","02-Aug-2023","-","-"
"GREENPOWER","Orient Green Power Company Limited","EQ","Rights 19:62 @ Premium Rs 0/-","10","18-Aug-2023","18-Aug-2023","-","-"
"NGIL","Nakoda Group of Industries Limited","EQ","Rights 1:7 @ Premium Rs 30/-","10","05-Sep-2023","05-Sep-2023","-","-"
"BHANDARI","Bhandari Hosiery Exports Limited","EQ","Rights 3:26 @ Premium Rs 3.50/-","1","22-Sep-2023","23-Sep-2023","-","-"
"MARSHALL","Marshall Machines Limited","EQ","Rights 7:10 @ Premium Rs 34.80/-","10","28-Sep-2023","29-Sep-2023","-","-"
"VERTIS","Vertis Infrastructure Trust","IV","Rights 10:63","100","28-Sep-2023","29-Sep-2023","-","-"
"SEPC","SEPC Limited","EQ","Rights 1:36 @ Premium Rs 3/-","10","28-Nov-2023","28-Nov-2023","-","-"
"LLOYDSENGG","LLOYDS ENGINEERING WORKS LIMITED","EQ","Rights 1:17 @ Premium Rs 14.50/-","1","14-Dec-2023","14-Dec-2023","-","-"
"GRASIM","Grasim Industries Limited","EQ","Rights 6:179 @ Premium Rs 1810/-","2","10-Jan-2024","10-Jan-2024","-","-"
"SKIPPER","Skipper Limited","EQ","Rights 1:10 @ Premium Rs 193/-","1","12-Jan-2024","12-Jan-2024","-","-"
"ADROITINFO","Adroit Infotech Limited","EQ","Rights 3:2 @ Premium Rs 5/-","10","19-Jan-2024","19-Jan-2024","-","-"
"MAGNUM","Magnum Ventures Limited","EQ","Rights 2:11 @ Premium Rs 44/-","10","25-Jan-2024","25-Jan-2024","-","-"
"NAGREEKEXP","Nagreeka Exports Limited","EQ","Rights 3:2 @ Premium Rs 15/-","5","30-Jan-2024","30-Jan-2024","-","-"
"SAMMAANCAP","Sammaan Capital Limited","EQ","Rights 1:2 @ Premium Rs 148/-","2","01-Feb-2024","01-Feb-2024","-","-"
"SILGO","Silgo Retail Limited","EQ","Rights 1:1 @ Premium Rs 15/-","10","22-Feb-2024","22-Feb-2024","-","-"
"GLOBE","GLOBE ENTERPRISES (INDIA) LIMITED","EQ","Rights 1:1 @ Premium Rs 1/-","2","23-Feb-2024","23-Feb-2024","-","-"
"SOUTHBANK","The South Indian Bank Limited","EQ","Rights 1:4 @ Premium Rs 21/-","1","27-Feb-2024","27-Feb-2024","-","-"
"IRBIT","IRB INFRASTRUCTURE TRUST","IV","Rights 1:11.10 @ Premium Rs 0/-","100","12-Mar-2024","12-Mar-2024","-","-"
"HCC","Hindustan Construction Company Limited","EQ","Rights 13:118 @ Premium Rs 20/-","1","15-Mar-2024","16-Mar-2024","-","-"
"BALKRISHNA","Balkrishna Paper Mills Limited","EQ","Rights 2:1 @ Premium Rs 11/-","10","15-Mar-2024","15-Mar-2024","-","-"
"JYOTISTRUC","Jyoti Structures Limited","EQ","Rights 6:37 @ Premium Rs 13/-","2","21-Mar-2024","21-Mar-2024","-","-"
"TIL","TIL Limited","EQ","Rights 28:10 @ Premium Rs 0/-","10","22-Mar-2024","22-Mar-2024","-","-"
"SAKUMA","Sakuma Exports Limited","EQ","Rights 33:98 @ Premium Rs 24.30/-","1","15-Apr-2024","15-Apr-2024","-","-"
"IIFL","IIFL Finance Limited","EQ","Rights 1:9 @ Premium Rs 298/-","2","23-Apr-2024","23-Apr-2024","-","-"
"AJOONI","Ajooni Biotech Limited","EQ","Rights 1:1 @ Premium Rs 3/-","2","07-May-2024","07-May-2024","-","-"
"SANGINITA","Sanginita Chemicals Limited","EQ","Rights 1:2 @ Premium Rs 8/-","10","07-May-2024","07-May-2024","-","-"
"KEEPLEARN","DSJ Keep Learning Limited","EQ","Rights 7:9 @ Premium Rs 0/-","1","14-May-2024","14-May-2024","-","-"
"VIJIFIN","Viji Finance Limited","EQ","Rights 8:11 @ Premium Re 0.50/-","1","15-May-2024","15-May-2024","-","-"
"SOLARA","Solara Active Pharma Sciences Limited","EQ","Rights 1:3 @ Premium Rs 365/-","10","15-May-2024","15-May-2024","-","-"
"MGEL","Mangalam Global Enterprise Limited","EQ","Rights 1:7 @ Premium Rs 18/-","1","24-May-2024","24-May-2024","-","-"
"NGIL","Nakoda Group of Industries Limited","EQ","Rights 4:10 @ Premium Rs 15/-","10","30-May-2024","30-May-2024","-","-"
"ESSENTIA","Integra Essentia Limited","EQ","Rights 20:119 @ Premium Rs 2.25/-","1","31-May-2024","01-Jun-2024","-","-"
"KSHITIJPOL","Kshitij Polyline Limited","EQ","Rights 4:5 @ Premium Rs 4.40/-","2","18-Jun-2024","18-Jun-2024","-","-"
"BHANDARI","Bhandari Hosiery Exports Limited","EQ","Rights 15:32 @ Premium Rs 5.26/-","1","19-Jun-2024","19-Jun-2024","-","-"
"SOBHA","Sobha Limited","EQ","Rights 6:47 @ Premium Rs 1641/-","10","19-Jun-2024","19-Jun-2024","-","-"
"MITCON","MITCON Consultancy & Engineering Services Limited","EQ","Rights 6:19 @ Premium Rs 66/-","10","20-Jun-2024","20-Jun-2024","-","-"
"SEPC","SEPC Limited","EQ","Rights 6:55 @ Premium Rs 3","10","25-Jun-2024","25-Jun-2024","-","-"
"JAIPURKURT","Nandani Creation Limited","EQ","Rights 100:224 @ Premium Rs 20/-","10","04-Jul-2024","04-Jul-2024","-","-"
"INVENTURE","Inventure Growth & Securities Limited","EQ","Rights 1:4 @ Premium Rs 1.33/-","1","05-Jul-2024","05-Jul-2024","-","-"
"INDOWIND","Indowind Energy Limited","EQ","Rights 1:5 @ Premium Rs 12.50/-","10","16-Jul-2024","16-Jul-2024","-","-"
"GATECH","GACM Technologies Limited","EQ","Rights 1:1 @ Premium Rs 0/-","1","16-Jul-2024","16-Jul-2024","-","-"
"GATECHDVR","GACM Technologies Limited","EQ","Rights 1:1 @ Premium Rs 0/-","1","16-Jul-2024","16-Jul-2024","-","-"
"TATACONSUM","TATA CONSUMER PRODUCTS LIMITED","EQ","Rights 1:26 @ Premium Rs 817/-","1","26-Jul-2024","27-Jul-2024","-","-"
"GREENPOWER","Orient Green Power Company Limited","EQ","Rights 10:51 @ Premium Rs 3/-","10","13-Aug-2024","13-Aug-2024","-","-"
"VINNY","Vinny Overseas Limited","EQ","Rights 1:1 @ Premium Rs 1/-","1","14-Aug-2024","14-Aug-2024","-","-"
"ATALREAL","Atal Realtech Limited","EQ","Rights 1:2 @ Premium Rs 5/-","2","22-Aug-2024","22-Aug-2024","-","-"
"AKSHAR","Akshar Spintex Limited","EQ","Rights 13:8 @ Premium Rs 0/-","1","23-Aug-2024","23-Aug-2024","-","-"
"VARDMNPOLY","Vardhman Polytex Limited","EQ","Rights 7:23 @ Premium Rs 5/-","1","28-Aug-2024","28-Aug-2024","-","-"
"DUCON","Ducon Infratechnologies Limited","EQ","Rights 1:4 @ Premium Rs 6/-","1","30-Aug-2024","30-Aug-2024","-","-"
"ORIENTALTL","Oriental Trimex Limited","EQ","Rights 3:2 @ Premium Re 1/-","10","05-Sep-2024","05-Sep-2024","-","-"
"PATINTLOG","Patel Integrated Logistics Limited","EQ","Rights 8:103 @ Premium Rs 8/-","10","06-Sep-2024","06-Sep-2024","-","-"
"SGIL","Synergy Green Industries Limited","EQ","Rights 1:10 @ Premium Rs 315/-","10","11-Sep-2024","11-Sep-2024","-","-"
"SADHNANIQ","Sadhana Nitrochem Limited","EQ","Rights 1:3 @ Premium Rs 5.06/-","1","13-Sep-2024","13-Sep-2024","-","-"
"NARMADA","Narmada Agrobase Limited","EQ","Rights 9:5 @ Premium Rs 5/-","5","13-Sep-2024","16-Sep-2024","-","-"
"MITTAL","Mittal Life Style Limited","EQ","Rights 1:2 @ Premium Re 1/-","1","03-Oct-2024","03-Oct-2024","-","-"
"GEOJITFSL","Geojit Financial Services Limited","EQ","Rights 1:6 @ Premium Rs 49/-","1","07-Oct-2024","07-Oct-2024","-","-"
"HINDWAREAP","Hindware Home Innovation Limited","EQ","Rights 119:758 @ Premium Rs 218/-","2","25-Oct-2024","25-Oct-2024","-","-"
"UPL","UPL Limited","EQ","Rights 1:8 @ Premium Rs 358/-","2","26-Nov-2024","26-Nov-2024","-","-"
"VHLTD","Viceroy Hotels Limited","EQ","Rights 7:10 @ Prm Rs 102/-","10","29-Nov-2024","29-Nov-2024","-","-"
"SIKKO","Sikko Industries Limited","EQ","Rights 3:10 @ Premium Rs 88/-","1","06-Dec-2024","06-Dec-2024","-","-"
"AVONMORE","Avonmore Capital & Management Services Limited","EQ","Rights 5:24 @ Premium Rs 9/-","1","12-Dec-2024","12-Dec-2024","-","-"
"IRBIT","IRB INFRASTRUCTURE TRUST","IV","Rights 1:19.07 @ Premium Rs 0","100","13-Dec-2024","13-Dec-2024","-","-"
"MOKSH","Moksh Ornaments Limited","EQ","Rights 14:23 @ Premium Rs 13/-","2","20-Dec-2024","20-Dec-2024","-","-"
"DHANBANK","Dhanlaxmi Bank Limited","EQ","Rights 14:25 @ Premium Rs 11/-","10","27-Dec-2024","27-Dec-2024","-","-"
"CAMLINFINE","Camlin Fine Sciences Limited","EQ","Rights 5:41 @ Premium Rs 109/-","1","08-Jan-2025","08-Jan-2025","-","-"
"CALSOFT","California Software Company Limited","EQ","Rights 3:1 @ Premium Rs 0/-","10","15-Jan-2025","15-Jan-2025","-","-"
"GLOBE","GLOBE ENTERPRISES (INDIA) LIMITED","EQ","Rights 1:2 @ Premium Rs 1/-","2","17-Jan-2025","17-Jan-2025","-","-"
"JYOTISTRUC","Jyoti Structures Limited","EQ","Rights 9:26 @ Premium Rs 14/-","2","10-Feb-2025","10-Feb-2025","-","-"
"THANGAMAYL","Thangamayil Jewellery Limited","EQ","Rights 2:15 @ Premium Rs 1390/-","10","11-Feb-2025","11-Feb-2025","-","-"
"ABINFRA","A B Infrabuild Limited","EQ","Rights 1:5 @ Premium Rs 27.50/-","1","10-Mar-2025","10-Mar-2025","-","-"
"IRISDOREME","Iris Clothings Limited","EQ","Rights 1:6 @ Premium Rs 33/-","2","13-Mar-2025","13-Mar-2025","-","-"
"PRAXIS","Praxis Home Retail Limited","EQ","Rights 11:30 @ Premium Rs 5/-","5","20-Mar-2025","20-Mar-2025","-","-"
"BTML","Bodhi Tree Multimedia Limited","EQ","Rights 4:9 @ Premium Rs 7/-","1","24-Mar-2025","24-Mar-2025","-","-"
"FUSION","Fusion Finance Limited","EQ","Rights 55:91 @ Premium Rs 121/-","10","04-Apr-2025","04-Apr-2025","-","-"
"GATECHDVR","GACM Technologies Limited","EQ","Rights 51:82 @ Premium Rs 0/-","1","28-Apr-2025","28-Apr-2025","-","-"
"GATECH","GACM Technologies Limited","EQ","Rights 51:82 @ Premium Rs 0/-","1","28-Apr-2025","28-Apr-2025","-","-"
"LLOYDSENGG","LLOYDS ENGINEERING WORKS LIMITED","EQ","Rights 9:34 @ Premium Rs 31/-","1","28-Apr-2025","28-Apr-2025","-","-"
"MAXIND","Max India Limited","EQ","Rights 19:100 @ Premium Rs 140/-","10","29-Apr-2025","29-Apr-2025","-","-"
"BASML","Bannari Amman Spinning Mills Limited","EQ","Rights 10:43 @ Premium Rs 22/-","5","30-Apr-2025","30-Apr-2025","-","-"
"AVANTEL","Avantel Limited","EQ","Rights 10:121@ Premium Rs 38/-","2","07-May-2025","07-May-2025","-","-"
"M&MFIN","Mahindra & Mahindra Financial Services Limited","EQ","Rights 1:8 @ Premium Rs 192/-","2","14-May-2025","14-May-2025","-","-"
"MAHLIFE","Mahindra Lifespace Developers Limited","EQ","Rights 3:8 @ Premium Rs 247/-","10","23-May-2025","23-May-2025","-","-"
"SEPC","SEPC Limited","EQ","Rights 11: 50 @ Premium Rs 0/-","10","23-May-2025","23-May-2025","-","-"
"UGROCAP","Ugro Capital Limited","EQ","Rights 50:189 @ Premium Rs 152/-","10","05-Jun-2025","05-Jun-2025","-","-"
"ETHOSLTD","Ethos Limited","EQ","Rights 4:43@ Premium Rs 1790/-","10","12-Jun-2025","12-Jun-2025","-","-"
"CAPTRUST","Capital Trust Limited","EQ","Rights 5:14 @ Premium Rs 72/-","10","18-Jun-2025","18-Jun-2025","-","-"
"CCAVENUE","AvenuesAI Limited","EQ","Rights 67:267 @ Premium Rs 9/-","1","26-Jun-2025","26-Jun-2025","-","-"
"ONIDA","Onida Electronics Limited","EQ","Rights 3:14 @ Premium Rs 9/-","1","30-Jun-2025","30-Jun-2025","-","-"
"GVPTECH","GVP Infotech Limited","EQ","Rights 13:100 @ Premium Rs 8/-","2","30-Jun-2025","30-Jun-2025","-","-"
"ASTEC","Astec LifeSciences Limited","EQ","Rights 1:7 @ Premium Rs 880/-","10","04-Jul-2025","04-Jul-2025","-","-"
